model,feature,selected_folds,fraction
isolation_forest,f_350,15,1.0
isolation_forest,f_351,15,1.0
isolation_forest,f_352,15,1.0
isolation_forest,f_353,15,1.0
isolation_forest,f_354,15,1.0
isolation_forest,f_355,15,1.0
isolation_forest,f_356,15,1.0
isolation_forest,f_357,15,1.0
isolation_forest,f_359,15,1.0
isolation_forest,f_360,15,1.0
isolation_forest,f_361,15,1.0
isolation_forest,f_362,15,1.0
isolation_forest,f_363,15,1.0
isolation_forest,f_365,15,1.0
isolation_forest,f_366,15,1.0
isolation_forest,f_367,15,1.0
isolation_forest,f_368,15,1.0
isolation_forest,f_376,15,1.0
isolation_forest,f_377,15,1.0
isolation_forest,f_386,15,1.0
isolation_forest,f_387,15,1.0
isolation_forest,f_388,15,1.0
isolation_forest,f_389,15,1.0
isolation_forest,f_390,15,1.0
isolation_forest,f_391,15,1.0
isolation_forest,f_392,15,1.0
isolation_forest,f_393,15,1.0
isolation_forest,f_405,15,1.0
isolation_forest,f_406,15,1.0
isolation_forest,f_407,15,1.0
isolation_forest,f_408,15,1.0
isolation_forest,f_409,15,1.0
isolation_forest,f_410,15,1.0
isolation_forest,f_411,15,1.0
isolation_forest,f_412,15,1.0
isolation_forest,f_413,15,1.0
isolation_forest,f_415,15,1.0
isolation_forest,f_416,15,1.0
isolation_forest,f_417,15,1.0
isolation_forest,f_418,15,1.0
isolation_forest,f_419,15,1.0
isolation_forest,f_420,15,1.0
isolation_forest,f_421,15,1.0
isolation_forest,f_423,15,1.0
isolation_forest,f_424,15,1.0
isolation_forest,f_425,15,1.0
isolation_forest,f_426,15,1.0
isolation_forest,f_427,15,1.0
isolation_forest,f_428,15,1.0
isolation_forest,f_429,15,1.0
isolation_forest,f_430,15,1.0
isolation_forest,f_431,15,1.0
isolation_forest,f_432,15,1.0
isolation_forest,f_433,15,1.0
isolation_forest,f_434,15,1.0
isolation_forest,f_435,15,1.0
isolation_forest,f_436,15,1.0
isolation_forest,f_437,15,1.0
isolation_forest,f_438,15,1.0
isolation_forest,f_439,15,1.0
isolation_forest,f_440,15,1.0
isolation_forest,f_441,15,1.0
isolation_forest,f_442,15,1.0
isolation_forest,f_443,15,1.0
isolation_forest,f_444,15,1.0
isolation_forest,f_445,15,1.0
isolation_forest,f_446,15,1.0
isolation_forest,f_447,15,1.0
isolation_forest,f_448,15,1.0
isolation_forest,f_452,15,1.0
isolation_forest,f_453,15,1.0
isolation_forest,f_454,15,1.0
isolation_forest,f_455,15,1.0
isolation_forest,f_456,15,1.0
isolation_forest,f_457,15,1.0
isolation_forest,f_459,15,1.0
isolation_forest,f_460,15,1.0
isolation_forest,f_467,15,1.0
isolation_forest,f_468,15,1.0
isolation_forest,f_469,15,1.0
isolation_forest,f_470,15,1.0
isolation_forest,f_471,15,1.0
isolation_forest,f_472,15,1.0
isolation_forest,f_473,15,1.0
isolation_forest,f_474,15,1.0
isolation_forest,f_475,15,1.0
isolation_forest,f_476,15,1.0
isolation_forest,f_477,15,1.0
isolation_forest,f_478,12,0.8
isolation_forest,f_479,15,1.0
isolation_forest,f_480,15,1.0
isolation_forest,f_482,15,1.0
isolation_forest,f_483,15,1.0
isolation_forest,f_484,15,1.0
isolation_forest,f_485,15,1.0
isolation_forest,f_486,15,1.0
isolation_forest,f_487,15,1.0
isolation_forest,f_488,15,1.0
isolation_forest,f_489,15,1.0
isolation_forest,f_490,15,1.0
